Channel ID,Channel name,Channel url,View Count,Subscriber Count,Video Count,Email has?,Email in description?,Social media
UCp_r6Z-Oh0YTf-ym71z5Nqg,Asianet,https://www.youtube.com/@asianet,"17,043,781,598 views",10.3M subscribers,"126,344 videos",Yes,No,"http://www.hotstar.com/asianet,https://twitter.com/asianet,http://www.facebook.com/Asianet"
UCSruDDd1YlGeVFGnyBtKYuw,Odisha Sanket,https://www.youtube.com/@OdishaSanket,"2,662,437 views",14.3K subscribers,"2,606 videos",Yes,No,"https://twitter.com/TheOdishaSanket,https://www.facebook.com/theodishasanket,https://www.instagram.com/theodishasanket/"
UCFf9AtG5VhIDG6r_W7WHHkw,CHANDRA Entertainment,https://www.youtube.com/@chandraentertainment5837,"188,824 views",711 subscribers,100 videos,Yes,No,None
UC7GQFiKot-foYAmgOk3o3Rg,A1 Bigil by Satyam Rai,https://www.youtube.com/@A1_Bigil_by_Satyam_Rai,"728,081 views",1.9K subscribers,180 videos,Yes,No,https://instagram.com/a1bigil?utm_source=qr&igshid=YzU1NGVlODEzOA%3D%3D
UC5Kusc77UMyZl0NwcblTG9A,Suresh YT Short,https://www.youtube.com/@SureshYTShort,"97,202 views",1.93K subscribers,22 videos,Yes,No,None
UChJ8kFLY5gyLUwZLGbN39IA,Grow more with me,https://www.youtube.com/@Growmorewithme-uk7ly,"19,028 views",27 subscribers,14 videos,Yes,No,None
UCbJmaukNltaW0Odtm7VqzkQ,Motivational_Quotes2.0,https://www.youtube.com/@Motivational_quotes_hindi_2.0,"3,108 views",43 subscribers,46 videos,Yes,No,"https://www.instagram.com/sandeeprajbhar3221/,https://www.facebook.com/sandeeprajbhar3221?mibextid=ZbWKwL,https://www.threads.net/@sandeeprajbhar3221"
UCFpdjthTp3m-PBB2rv-gCzA,Think Spiritually,https://www.youtube.com/@Think_Spiritually,"28,258 views",315 subscribers,48 videos,Yes,No,None
UCLLgQ8IgqVxFczOzNz0g0qA,Filmy Maharashtra •,https://www.youtube.com/@filmymaharashtra,"270,889 views",878 subscribers,204 videos,Yes,No,None
UCONpzg2d4IXyeCW2nts9wVg,Ram Babu BR,https://www.youtube.com/@Ram_Babu_BR,"511,756 views",2.94K subscribers,237 videos,Yes,No,"https://t.me/class_12th_math_and_physic,https://www.instagram.com/ram_kumar_2.o/"
UC5tM-zf5Nz5d9prGzEEs5BQ,Uorfi Javed Official,https://www.youtube.com/@Urf7iJavedOfficial,"26,329 views",100 subscribers,385 videos,Yes,No,None
UCkO647P7eO0Dr2PfcbHN5bQ,Sonarpitgoswami,https://www.youtube.com/@SonaGoswami143,"26,040 views",226 subscribers,113 videos,Yes,No,None
